Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
verify the blank page in coupon ,UN-29,10053,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 9:45 AM,09/Sep/21 5:00 AM,07/Sep/21 11:51 AM,07/Sep/21 11:51 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-28,,,,,,,,,{},,,,,,,0|i0006m:x6,,UN Sprint 1,,,,,,,,Done
As a admin I have to add blank new coupon,UN-28,10052,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 9:44 AM,07/Sep/21 11:51 AM,07/Sep/21 11:51 AM,07/Sep/21 11:51 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-15,,,,,,,,,{},,,,,,,0|i0006m:x4,,UN Sprint 1,,,,,,,,Done
"verify coupon list,name,code,date,status",UN-27,10051,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 9:33 AM,09/Sep/21 5:00 AM,07/Sep/21 11:49 AM,07/Sep/21 11:49 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-26,,,,,,,,,{},,,,,,,0|i0006m:xr,,UN Sprint 1,,,,,,,,Done
"As a admin I have to check coupon list,name,code,date,status",UN-26,10050,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 9:33 AM,07/Sep/21 11:52 AM,07/Sep/21 11:52 AM,07/Sep/21 11:52 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-15,,,,,,,,,{},,,,,,,0|i0006m:xi,,UN Sprint 1,,,,,,,,Done
 verify whether admin can edit the coupon,UN-25,10049,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 9:28 AM,08/Sep/21 4:09 AM,08/Sep/21 4:09 AM,07/Sep/21 11:46 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006m:wm,,UN Sprint 1,,,,,,,,Done
As a admin I have to edit existing coupon,UN-24,10048,Story,block,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 9:27 AM,08/Sep/21 5:11 AM,08/Sep/21 5:20 AM,,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-15,UN-25,,,,,,,,{},,,,,,,0|i0006m:wk,,UN Sprint 1,,,,,,,,In Progress
verify  whether admin can save or cancel new coupon,UN-23,10047,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 9:20 AM,09/Sep/21 5:00 AM,07/Sep/21 11:51 AM,07/Sep/21 11:51 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-22,,,,,,,,,{},,,,,,,0|i0006m:wg,,UN Sprint 1,,,,,,,,Done
As a admin I have to save or cancel coupon,UN-22,10046,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 9:19 AM,07/Sep/21 11:50 AM,07/Sep/21 11:50 AM,07/Sep/21 11:50 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-15,,,,,,,,,{},,,,,,,0|i0006m:wf,,UN Sprint 1,,,,,,,,Done
verify whether admin can delete existing coupon,UN-21,10045,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 9:09 AM,09/Sep/21 5:00 AM,09/Sep/21 5:11 AM,07/Sep/21 11:46 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-20,,,,,,,,,{},,,,,,,0|i0006m:wd,,UN Sprint 1,,,,,,,,Done
As a admin I have to delete existing coupon,UN-20,10044,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 9:09 AM,07/Sep/21 11:49 AM,07/Sep/21 11:49 AM,07/Sep/21 11:49 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-15,,,,,,,,,{},,,,,,,0|i0006m:w9,,UN Sprint 1,,,,,,,,Done
verify  whether admin can add new coupon,UN-19,10043,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 8:56 AM,09/Sep/21 5:00 AM,07/Sep/21 11:51 AM,07/Sep/21 11:51 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-18,,,,,,,,,{},,,,,,,0|i0006m:x5,,UN Sprint 1,,,,,,,,Done
As a admin I have to add new coupon,UN-18,10042,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 8:56 AM,07/Sep/21 11:46 AM,09/Sep/21 5:11 AM,07/Sep/21 11:46 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-15,,,,,,,,,{},,,,,,,0|i0006m:w,,UN Sprint 1,,,,,,,,Done
As a admin I have to add blank new category,UN-17,10041,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 8:50 AM,07/Sep/21 11:47 AM,09/Sep/21 5:11 AM,07/Sep/21 11:47 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-7,,,,,,,,,{},,,,,,,0|i0006m:x9,,UN Sprint 1,,,,,,,,Done
As a admin I have to add blank new category,UN-16,10040,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 8:49 AM,07/Sep/21 11:51 AM,07/Sep/21 11:51 AM,07/Sep/21 11:51 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-7,,,,,,,,,{},,,,,,,0|i0006m:x,,UN Sprint 1,,,,,,,,Done
Functionality about coupons,UN-15,10039,Epic,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 8:09 AM,09/Sep/21 5:01 AM,09/Sep/21 4:59 AM,07/Sep/21 12:22 PM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,,,,,,,,,,{},ghx-label-8,,Coupons,To Do,,,0|i0008f:,,UN Sprint 1,,,,,,,,Done
verify whether admin can edit the category,UN-14,10038,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 7:57 AM,08/Sep/21 4:09 AM,09/Sep/21 5:11 AM,07/Sep/21 11:46 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-13,UN-7,,,,,,,,{},,,,,,,0|i0006m:v,,UN Sprint 1,,,,,,,,Done
As a admin I have to edit the category,UN-13,10037,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 7:57 AM,07/Sep/21 11:46 AM,09/Sep/21 5:11 AM,07/Sep/21 11:45 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-7,,,,,,,,,{},,,,,,,0|i0006m:r,,UN Sprint 1,,,,,,,,Done
verify whether admin can sort category or not,UN-12,10036,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 7:50 AM,07/Sep/21 11:45 AM,09/Sep/21 5:11 AM,07/Sep/21 11:45 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-11,UN-7,,,,,,,,{},,,,,,,0|i0006m:i,,UN Sprint 1,,,,,,,,Done
As a admin I have to sort the  category,UN-11,10035,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 7:48 AM,07/Sep/21 11:45 AM,09/Sep/21 5:11 AM,07/Sep/21 11:45 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-7,,,,,,,,,{},,,,,,,0|i0006m:,,UN Sprint 1,,,,,,,,Done
 verify whether admin can cancel a  new category,UN-10,10034,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 7:24 AM,07/Sep/21 11:45 AM,09/Sep/21 5:11 AM,07/Sep/21 11:45 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,UN-6,UN-7,UN-8,,,,,,,,{},,,,,,,0|i0006l:,,UN Sprint 1,,,,,,,,Done
verify whether admin can cancel new category,UN-8,10032,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 7:22 AM,07/Sep/21 11:44 AM,09/Sep/21 5:11 AM,07/Sep/21 11:44 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-7,,,,,,,,,{},,,,,,,0|i0006j:,,UN Sprint 1,,,,,,,,Done
Functionality about categories,UN-7,10031,Epic,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 7:16 AM,09/Sep/21 5:03 AM,09/Sep/21 5:03 AM,07/Sep/21 12:22 PM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,,,,,,,,,,{},ghx-label-5,,Categories,To Do,,,0|i0006n:,,UN Sprint 1,,,,,,,,Done
verify whether admin can save a  new category,UN-6,10030,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 7:10 AM,07/Sep/21 11:44 AM,09/Sep/21 5:11 AM,07/Sep/21 11:44 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-5,UN-7,,,,,,,,{},,,,,,,0|i0006f:,,UN Sprint 1,,,,,,,,Done
As a admin I have to save the  new category,UN-5,10029,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 7:09 AM,07/Sep/21 11:44 AM,09/Sep/21 5:11 AM,07/Sep/21 11:44 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-7,,,,,,,,,{},,,,,,,0|i00067:,,UN Sprint 1,,,,,,,,Done
verify whether admin can delete existing category,UN-4,10028,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 7:01 AM,07/Sep/21 11:44 AM,09/Sep/21 5:11 AM,07/Sep/21 11:44 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-3,UN-7,,,,,,,,{},,,,,,,0|i0005z:,,UN Sprint 1,,,,,,,,Done
As a admin I have to delete existing category,UN-3,10027,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 7:00 AM,07/Sep/21 11:44 AM,09/Sep/21 5:11 AM,07/Sep/21 11:44 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-7,,,,,,,,,{},,,,,,,0|i0005r:,,UN Sprint 1,,,,,,,,Done
verify whether admin can add new category,UN-2,10026,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 6:39 AM,07/Sep/21 11:43 AM,07/Sep/21 1:21 PM,07/Sep/21 11:43 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-1,UN-7,,,,,,,,{},,,,,,,0|i0005j:,,UN Sprint 1,,,,,,,,Done
As a admin I have to add new category,UN-1,10025,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,02/Sep/21 6:38 AM,07/Sep/21 11:43 AM,09/Sep/21 5:11 AM,07/Sep/21 11:43 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-7,,,,,,,,,{},,,,,,,0|i0005b:,,UN Sprint 1,,,,,,,,Done
