Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
verify that admin is able to see history of edited coupons,UN-56,10080,Bug,To Do,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 12:05 PM,08/Sep/21 6:19 AM,08/Sep/21 5:20 AM,,,0,"1.Go to uniform app. 

2.Click on coupon under marketing section.

3.click on edit option.

4. In  edit section user should be able to see history. 

Expected Result

Admin should be able to see edited history

Actual Result

Admin is unable to see history

!Bug.png|width=1920,height=1080!",,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,UN-24,,,,,,07/Sep/21 12:31 PM;ug:720199d5-cc87-4f44-ae81-e976cf5905b4;Bug.png;https://corporateola9496.atlassian.net/secure/attachment/10001/Bug.png,,,,,,{},,,,,,,0|i0006m:zwzz,,UN Sprint 1,,,,,,,,To Do
As a admin I have to see history of edited coupon ,UN-55,10079,Test,block,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 12:01 PM,08/Sep/21 4:13 AM,08/Sep/21 4:10 AM,,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,UN-56,,,UN-24,,,,,,,,,{},,,,,,,0|i0006m:zwzy,,UN Sprint 1,,,,,,,,In Progress
 verify whether admin can go to home page from coupon,UN-54,10078,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 11:27 AM,07/Sep/21 11:53 AM,07/Sep/21 11:53 AM,07/Sep/21 11:53 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,UN-53,UN-52,,,,,,,,,{},,,,,,,0|i0006m:zwz4,,UN Sprint 1,,,,,,,,Done
verify whether admin can go to home page from category,UN-53,10077,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 11:24 AM,07/Sep/21 11:50 AM,07/Sep/21 11:50 AM,07/Sep/21 11:50 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-52,,,,,,,,,{},,,,,,,0|i0006m:zwzw,,UN Sprint 1,,,,,,,,Done
As a admin I have to visit Home from category as well as coupon,UN-52,10076,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 11:23 AM,07/Sep/21 11:49 AM,07/Sep/21 11:49 AM,07/Sep/21 11:49 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006m:zwzx,,UN Sprint 1,,,,,,,,Done
 Verify that admin is able to navigate to coupon,UN-51,10075,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 11:19 AM,07/Sep/21 11:49 AM,08/Sep/21 3:42 AM,07/Sep/21 11:49 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,UN-50,UN-49,,,,,,,,,{},,,,,,,0|i0006m:zwzr,,UN Sprint 1,,,,,,,,Done
Verify that admin is able to navigate to category,UN-50,10074,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 11:16 AM,07/Sep/21 11:54 AM,07/Sep/21 11:54 AM,07/Sep/21 11:54 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-49,,,,,,,,,{},,,,,,,0|i0006m:zwzv,,UN Sprint 1,,,,,,,,Done
As a admin I have to navigate to coupon and category field,UN-49,10073,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 11:15 AM,07/Sep/21 11:48 AM,07/Sep/21 11:48 AM,07/Sep/21 11:48 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006m:zwz9,,UN Sprint 1,,,,,,,,Done
verify that admin is able to select parent and seo url in data field of category,UN-48,10072,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 4:07 AM,08/Sep/21 9:08 AM,08/Sep/21 9:08 AM,07/Sep/21 11:54 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-30,UN-7,,,,,,,,{},,,,,,,0|i0006m:zwzi,,UN Sprint 1,,,,,,,,Done
verify whether add Image in category in data field,UN-47,10071,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 3:41 AM,07/Sep/21 11:50 AM,07/Sep/21 11:50 AM,07/Sep/21 11:50 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-39,UN-30,UN-7,,,,,,,{},,,,,,,0|i0006m:zwz,,UN Sprint 1,,,,,,,,Done
